S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	AN/2020/0259067	A S MUSIC AND DANCE A CULTURAL ORGANIZATION	asmusicanddancepb@gmail.com	9933273585	AS Music And Dance A Cultural Organization, 8,Air Lane Delanipur Port Blair, South Andaman.744102	Port Blair				
2	AN/2017/0161456	AdityaNatyaAcademy	anaportblair@gmail.com	9476076176	31 M.G. Road, Opp. Sun Sea Resort, Middle Point.	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 		http://www.adityanatyaacademy.com	
3	AN/2017/0115373	Anandodhara	dipensaha1961@gmail.com	9434282940	C/o Baakprotima (SBI Building) Junglighat Port Blair-744103 South Andaman PIN-744103	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,		
4	AN/2017/0172642	Andaman Avians Club	andamanaviansclub@gmail.com	9933279100	Room No.2, Arun Market, Dairy Farm Jn Vijay Baugh Road P.O.Junglighat	Port Blair				
5	AN/2020/0258288	ANDAMAN ISLANDS FILM SOCIETY	kaalikoyalsinger@gmail.com	8900912379	c/0 Jay Traders, 73, MG Road opposite Model Sr. Sec School, Port Blair	PORT BLAIR				
6	AN/2018/0211310	Andaman Mar Thoma Charitable and Educational Society	darly3906@gmail.com	9474247132	St. Thomas Marthoma Church Complex, Goalghar, Port Blair	SOUTH ANDAMAN				
7	AN/2016/0103413	ANDAMAN NATURE CLUB	isssinha@rediffmail.com	7063913743	COLLINPUR (VILL), HERBATABAD (PO), SOUTH ANDAMAN	SOUTH ANDAMAN	ANDAMAN &amp; NICOBAR ISLANDS, 	Science & Technology,	http://nostc.in	
8	AN/2017/0150348	Andaman Sangeet Academy	andamansangeetacademy@gmail.com	9679507511	Dairy Farm, Junglighat	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,	http://www.asa.com.in	
9	AN/2019/0243630	ANDAMAN SANSKRITI PARISHAD	sudhirbiswas69@gmail.com	9474215550	PROTHRAPUR PORT BLAIRSOUTH AMDAMAN 744105	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Children,Civic Issues,Disaster Management,Education & Literacy,Vocational Training,Any Other,		
10	AN/2019/0233571	ANDAMAN SUNNI MUSLIM JAMAETH	asmj.andaman@gmail.com	9531807338	WIMBERLY GUNJ, FERRARGUNJ TEHSIL	PORT BLAIR	ANDAMAN &amp; NICOBAR ISLANDS, 	Education & Literacy,Minority Issues,Vocational Training,		
11	AN/2017/0154202	ANNAI VELANKANNI PRE-PRIMARY SCHOOL	rajvetha@yahoo.co.in	9434263742	WARD NO 10 RAJIV NAGARBAMBOOFLAT 2 SOUTH ANDAMAN744107	PORT BLAIR				
12	AN/2009/0000049	ARPAN	arpanpb@gmail.com	9933210768	ARPAN Enem Post Ograbraj	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Aged/Elderly,Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,	http://arpan.ngo.tripod.com	
13	AN/2018/0204240	ARPAN MUSIC ACADEMY	chinmoyd57@gmail.com	9933280902	Tulsi Bhwan, Near Working Women Hostel Polytechnic Road, Dollygunj	Port Blair	ANDAMAN &amp; NICOBAR ISLANDS, 	Art & Culture,Any Other,		
