S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website

1	AP/2017/0177484	(ANKITA) Association for Needy and Kindle the Illiterate through Action	ankita_org@yahoo.com	8464094801	Flat no-101, Plot nos-919, 921, Sri Saidatta Residency, Defence colony, Sinnikpuri Post, Secunderabad-500 094, Telangana State, India.	Machilipatnam	TELANGANA, 	Rural Development & Poverty Alleviation,	
2	AP/2020/0263186	22ND BATCH OF JNVP	22ndbatch.jnvp.helpline@gmail.com	9177799677	4-431, RAMANNAGUDEM ROAD, PEDATADEPALLI, TADEPALLIGUDEM, WEST GODAVARI DISTRICT, ANDHRA PRADESH, 534101	TADEPALLIGUDEM			
3	AP/2017/0168573	3F SWABHIMAAN FOUNDATION	csr@fff.co.in	9951824777	3F Swabhimaan Foundation Racherla Village Pentapadu (Mandal) West Godavari Dist. Andhrapradesh-534166 Mobil:9951824777	Racherla	ANDHRA PRADESH, 	Children,Aged/Elderly,Vocational Training,	http://3f-swabhimaanfoundation.in/
4	AP/2018/0207311	A & A EDUCATIONAL AND IT SOLUTIONS	aaeits.bgr@gmail.com	9440115605	PLOT NO. 170, VENKATESWARA COLONY, PADMAVATI NAGAR, VIZIANAGARAM	VIZIANAGARAM	ANDHRA PRADESH, ORISSA, TELANGANA, 	Food Processing,Science & Technology,Vocational Training,Any Other,	
5	AP/2009/0022984	A G R A	agraindiaatp@gmail.com	9848324044	13-2-264  RAMACHANDRA NAGAR  ANANTAPUR - 515 001  ANDHRA PRADESH	ANANTAPUR			
6	AP/2018/0206073	A S N RAJU SOCIETY FOR SOCIAL WELFARE AND RURAL DEVELOPMENT	asnrajusociety@gmail.com	9304345678	ASN RAJU SOCIETY FOR SOCIAL WELFARE AND RURAL DEVELOPMENT, D.NO: 2-1-50, FLAT NO: 502, SVR TOWERS, JUVVALAPALEM ROAD, BHIMAVARAM, WEST GODAVARI DISTRICT, ANDHRA PRADESH, INDIA	BHIMAVARAM	ANDHRA PRADESH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Children,Dalit Upliftment,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,	
7	AP/2018/0211898	A SOUTH INDIA RURAL WOMENS ASSOCIATION FOR DEVELOPMENT	asirwadngo@gmail.com	9296653266	BRUNDAVANAM KANDUKUR	KANDUKUR	ANDHRA PRADESH, 	Women's Development & Empowerment,	
8	AP/2020/0268986	AADHAARAM	aadhaaramindia@gmail.com	9160646815	4-4-900, NEHRU NAGAR, TIRUPATI, CHITTOOR DISTRICT, ANDHRA PRADESH-517501.	TIRUPATI	ANDHRA PRADESH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Education & Literacy,Environment & Forests,Health & Family Welfare,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Minority Issues,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Vocational Training,Women's Development & Empowerment,	
9	AP/2020/0253523	AADHARANA FOUNADTION	chadalawadadivya18@gmail.com	9121625015	D NO 1-133 GADI VARI THOTA, RUSTUMBADA , NARSAPUR-534275	NARSAPUR	ANDHRA PRADESH, 	Children,Civic Issues,	
