S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	AR/2018/0201462	AALO YIJO WOMEN WELFARE SOCIETY	kenbiingo@gmail.com	8730802393	AALO YIJO COLONY, AALO WEST SIANG DIST. ARUNACHAL PRADESH	AALO				
2	AR/2019/0245139	AANE SIANG SOCIETY	rrlengineers@yahoo.com	9436696478	Jomlo Mobuk, District: Siang, Arunachal Pradesh-791003	Jomlo Mobuk	ARUNACHAL PRADESH, 	Art & Culture,Education & Literacy,Aged/Elderly,Health & Family Welfare,Vocational Training,Women's Development & Empowerment,		
3	AR/2016/0099868	AARRO WELFARE SOCIETY	aarrows10@yahoo.com	9436050404	Yahung Tekseng Simar Colony Yingkiong PO/PS Yingkiong -791002 District Upper Siang Arunachal Pradesh	Yingkiong	ARUNACHAL PRADESH, 	Art & Culture,Environment & Forests,Health & Family Welfare,HIV/AIDS,		
4	AR/2017/0160322	abo tani philanthropic mission	sorakito@yahoo.com	8256934678	near st xaviers international school. old agri farm. bogdo. PO.PS Aalo	Aalo	ARUNACHAL PRADESH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Disaster Management,Education & Literacy,Environment & Forests,Science & Technology,Vocational Training,Women's Development & Empowerment,		
5	AR/2018/0188049	ABO-TANI EDUCATIONAL & CULTURAL SOCIETY	atecsoc@gmail.com	9402992197	DAPORIJO, UPPER SUBANSIRI DISTRICT, ARUNACHAL PRADESH	DAPORIJO	ARUNACHAL PRADESH, 	Agriculture,Children,Disaster Management,Drinking Water,Health & Family Welfare,Information & Communication Technology,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,		
6	AR/2017/0161801	Abotani Ashram Welfare Association	aawaculture@gmail.com	9485233166	GExtn., Dam Site, Near St Thomas School P.O.- Naharlagun, Distt. - Papumpare-791110 Arunachal Pradesh.	Naharlagun	ARUNACHAL PRADESH, 	Art & Culture,Civic Issues,Youth Affairs,Education & Literacy,Vocational Training,		
7	AR/2016/0107204	Abralow Memorial Multipurpose Society	ammshunli@gmail.com	9436639631	ABRALOW MEMORIAL MULTIPURPOSE SOCIETY HEAD OFFICE : HUNLI, CORRESPONDENCE / BRANCH OFFICE : EZENGO, ROING ,DISTRICT : LOWER DIBANG VALLEY ,ARUNACHAL PRADESH, PIN-792110	Roing	ARUNACHAL PRADESH, 	Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,	http://www.ammsociety.org	
8	AR/2017/0174419	ABU TALANG MEMORIAL SOCIETY	abutalangmemorialsociety@gmail.com	9862907734	H.Q P SECTOR, NEAR QTR N. 58 (TYPE III) PO ITANAGAR DIST PAPUM PARE STATE ARUNACHAL PRADESH PIN NO 791111	ITANAGAR	ARUNACHAL PRADESH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Disaster Management,Drinking Water,Education & Literacy,Health & Family Welfare,Human Rights,Information & Communication Technology,Micro Finance (SHGs),Right to Information & Advocacy,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,		
9	AR/2017/0156752	Achukuru Welfare Society	achukuru47@rediffmail.com	9774886646	Ziro, P.O. Ziro	Ziro	ARUNACHAL PRADESH, 	Children,Differently Abled,Aged/Elderly,Rural Development & Poverty Alleviation,Tourism,Vocational Training,Women's Development & Empowerment,Any Other,		
10	AR/2020/0258638	AGAM MULTIPURPOSE COOPERATIVE SOCIETY LTD	agammpcs_123@rediffmail.com	8974716006	EAST SIANG DISTRICT, PASIGHAT, ARUNACHAL PRADESH	DIKING	ARUNACHAL PRADESH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,		
11	AR/2017/0178828	Agency For Culture Human Resources & Environment Development	joymvmiao@gmail.com	7085602472	P.O Khonsa	Khonsa	ARUNACHAL PRADESH, 	Art & Culture,Civic Issues,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Land Resources,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Water Resources,Youth Affairs,Any Other,		
12	AR/2015/0093145	AJEN ANNA SOCIETY	ajenannasociety@gmail.com	9436833343	VILLAGE POMA PO.PS. ITANAGAR PAPUMPARE DISTRICT PIN 791111	ITANAGAR	ARUNACHAL PRADESH, 	Agriculture,Art & Culture,Children,Education & Literacy,Environment & Forests,Food Processing,HIV/AIDS,Labour & Employment,Micro Finance (SHGs),Panchayati Raj,Scientific & Industrial Research,Tourism,Any Other,Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Aged/Elderly,Health & Family Welfare,Housing,Human Rights,Information & Communication Technology,Land Resources,Legal Awareness & Aid,Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,		
13	AR/2020/0263123	AJIN APII ARTISANS AND WEAVERS COOPERATIVE SOCIETY LTD	ajinapiiartisans@gmail.com	7085319543	GURUDUWARA LINE HAPOLI PO ZIRO DIST. LOWER SUNBANSIRI , ARUNACHAL PRADESH 791120	ZIRO				
