S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website

1	AS/2017/0167971	A CHIK BAPTIST CONVENTION	kilonamk@gmail.com	9854973902	BAGPARA, P.O KHAGARPUR, DIST: BONGAIGAON	BONGAIGAON	ASSAM, 	Any Other,Agriculture,Children,Education & Literacy,Health & Family Welfare,Women's Development & Empowerment,Youth Affairs,	
2	AS/2018/0186760	A RAY OF HOPE SOCIETY	mithunsarkar_mcp@yahoo.com	9435077743	C/O:Madhu Sudhan Sarkar,Haflong Bazar PO/PS:HAFLONG	HAFLONG	ASSAM, 	Youth Affairs,	
3	AS/2019/0233062	A SOCIAL FOR HUMAN RESOURCE ORGANISATION AND IMPROVEMENTS	rinkubaruahmahanta15@gmail.com	7002721099	Rup Nagar, Nalbari Gaon, PO- Gopalbazar,	Nalbari	ASSAM, 	Civic Issues,	
4	AS/2019/0238189	AADHAAR SHIKSHA TRUST	aadhaarshikshatrust@gmail.com	9540849308	C/o MINI BORO, HOUSE NO 21, ULUBARI, KACHARI BASTI, GUWAHATI 781007	GUWAHATI	ASSAM, 	Education & Literacy,	
5	AS/2019/0234956	Aaditri Foundation	aaditrifoundationghy@gmail.com	9127393633	H.No-01, August Kanti Path, Beltola, P.O. Khanapara, P.S. Dispur, Guwahati, District- Kamrup Metro, Assam,	GUWAHATI			
6	AS/2018/0218457	AADYA SRISHTI KALA MANDIR CULTURAL SOCIETY	askmcstsk@gmail.com	9401104848	S. DAHUTIA ROAD , BORPATHAR , TINSUKIA , TINSUKIA	Tinsukia	ASSAM, 	Art & Culture,Children,Education & Literacy,Environment & Forests,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs,Health & Family Welfare,Legal Awareness & Aid,	
7	AS/2020/0259890	AAGAN	aaganngo@gmail.com	8876090965	Hathimata Road, Ward No: 8, Opposite Surat Press, Kokrajhar, Assam.	Kokrajhar	ASSAM, 	Agriculture,Education & Literacy,Environment & Forests,Health & Family Welfare,Rural Development & Poverty Alleviation,	
8	AS/2016/0111985	AAINA	aainaassam@gmail.com	9707022457	H.No.26, Pragati path, Chandan nagar, Ghoramara, P.O.Beltola,Guwahati-28	Guwahati	ASSAM, 	Women's Development & Empowerment,	
9	AS/2017/0167182	AAKAR	aakar2011mlg@gmail.com	7002404032	AAKAR (NG0) (SCHOOL OF PERFORMING	GUWAHATI	ASSAM, 	Art & Culture,Any Other,	
10	AS/2017/0164860	AANRKAPOR	aanrkapor@yahoo.in	9435117309	AANRKAPOR C/O: Dhiraj Kumar S/O ; Arjun Ch. Kumar P.OVill: Gotanagar PNGB Road House No: 4 Near Gotanagar Nursery Guwahati-781011	Guwahati	ASSAM, 	Art & Culture,Any Other,Children,	
11	AS/2017/0117108	Aaranyak	aaranyakoffice@gmail.com	8811074394	50 Samannoy Path,Beltola Survey,Guwahati-781028 Assam	Guwahati	WEST BENGAL, ASSAM, ARUNACHAL PRADESH, ASSAM, 	Animal Husbandry, Dairying  &  Fisheries,Biotechnology,Disaster Management,Education & Literacy,Environment & Forests,Food Processing,Legal Awareness & Aid,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Tribal Affairs,Water Resources,	http://www.aaranyak.org
12	AS/2018/0194767	Aasha (A Hope) Foundation & Social Welfare Society	aasha2017@rediffmail.com	7576806128	c/o Benzir Arfan, House no. 98, 2nd floor, Panbazar, Danish Road, Lakhtokia, Districtkamrup (M), Guwahati. Assam. Pincode781001. India	Guwahati	ASSAM, BIHAR, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,	
13	AS/2016/0096907	Aashaa Bora Foundation	aashaabora@gmail.com	9854066369	345, NikitaComplex, 1st floor, Khanapara, Guwahati-781022	Guwahati			http://www.PublicDomainRegistry.com
14	AS/2017/0167559	AASHRAYA	bhuyan.dipa@gmail.com	9864061169	Santipur Hill Side, PNGB Road, (Near Pragati High School), Bharalumukh, Guwahati, Dist.- Kamrup (M),	Guwahati	ASSAM, 		
15	AS/2013/0068171	AASTHA FOUNDATION	arnab.chakraborty85@yahoo.in	9957577496	AASTHA FOUNDATION,CHOW CHAKRA BUILDING,N.N.DUTTA ROAD ,SILCHAR-788001	SILCHAR	ASSAM, 	Aged/Elderly,Agriculture,Art & Culture,Children,Disaster Management,Education & Literacy,Labour & Employment,Minority Issues,Rural Development & Poverty Alleviation,Tribal Affairs,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,	
16	AS/2020/0270778	AATMANIRBHAR ASSAMESE JWELLERY HANDICRAFT PRODUCER COMPANY LIMITED	aajhpclinc@gmail.com	7002434761	DAG NO. 633 DOBOKA TOWN, WARD NO. 10 P.O.: DOBOKA, P.S.: DOBOKA HOJAI, NAGAON (ASSAM) PIN: 782440, INDIA	DOBOKA	ASSAM, 	Any Other,	http://www.nerwsdbk.org
17	AS/2017/0175981	ABABEEL FOUNDATION 	fazlul481@gmail.com	8812892931	VILL- BHAKUAMARI PO-ANANDA BAZAR PS-SALBARI DIST-BAKSA PIN- 781318	BAKSA	ASSAM, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Human Rights,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Environment & Forests,Health & Family Welfare,HIV/AIDS,Housing,Labour & Employment,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Information & Communication Technology,Nutrition,Panchayati Raj,Tourism,Urban Development & Poverty Alleviation,Water Resources,Youth Affairs,	
18	AS/2018/0192373	Abad Agro Producer Company Limited	abadagro@gmail.com	7002682403	VillageDoulchuba , PO Bhergaon , Sub-Division - Bhergaon , Udalguri , Assam-784522	Udalguri			
19	AS/2017/0150458	Abarohan	abarohann88@gmail.com	9854463102	Vill- keotpara,P.O- Sualkuchi, Pin- 781103 Dist- kamrup, Assam.	Guwahati	ASSAM, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Drinking Water,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Rural Development & Poverty Alleviation,Tourism,Tribal Affairs,Women's Development & Empowerment,Any Other,Any Other,	
