S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website

1	BR/2018/0221446	21ST CENTURY RURAL DEVELOPMENT INSTITUTE.	centuryrural@gmail.com	9334104944	VILLAGE AND POSTSUKHET, VIAJHANJARPUR, DISTRICTMADHUBANI, BIHAR847404	JHANJHARPUR			
2	BR/2017/0167229	24x7ministry	solomanghosh@gmail.com	9334296356	aprajita building, First Floor, Opp. A.N. College, Near axis Bank Boring Road	PATNA	BIHAR, 	Children,	
3	BR/2018/0200583	360 Research Foundation	360president@gmail.com	9471040714	Tumakadiya, Post Office:- Rajpur (Madan), Pin Code- 845455, Police Station:- Shikarpur, District:- West Champaran, Bihar, India	Narkatiaganj	BIHAR, DELHI, PUNJAB, TELANGANA, 	Science & Technology,Agriculture,Biotechnology,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Any Other,	https://360rf.in
4	BR/2018/0199254	A CENTER FOR CULTURAL EDUCATIONAL & SOCIAL SUFFERERS(ACCESS)	accessarvind.kumar@gmail.com	9973391853	R.O.: C/O YATINDRA MOHAN SHANDILYA,JAGAT NARAYAN LAL ROAD, KADAMKUAN; H.O.: C/O SANJEEV MEDICALS, OPP. SBI, ASHOK RAJPATH, MAHENDRU,PATNA- 6; BRANCHES: (a) ANKITA ARVIND, H202, SMONDO-3, NEOTOWN, ELECTRONIC CITY, PHASE-1, BANGALORE-560100 (b) DR. M K MISHRA, WARD NO. 2, NAWA TOLI, SANA ROAD, JASPUR NAGAR, CHHATTISGARH-496331 (c) YOGITA YAMINI,5/201,SHALIMAR STERLING,RAISEN ROAD,BHOPAL-462022	PATNA	BIHAR, CHHATTISGARH, DELHI, GOA, JHARKHAND, KARNATAKA, KERALA, MADHYA PRADESH, MAHARASHTRA, PUNJAB, TAMIL NADU, TELANGANA, UTTAR PRADESH, BIHAR, JHARKHAND, CHHATTISGARH, MADHYA PRADESH, 	Agriculture,Vocational Training,Women's Development & Empowerment,Art & Culture,Biotechnology,Differently Abled,Dalit Upliftment,Education & Literacy,Aged/Elderly,Health & Family Welfare,Legal Awareness & Aid,Nutrition,Rural Development & Poverty Alleviation,Human Rights,Prisoner's Issues,Urban Development & Poverty Alleviation,Any Other,	
5	BR/2018/0212442	A FUTURE OF CHILDREN IN BODHGAYA SOCIETY 	brajeshwelcome@gmail.com	9771081686	VILL DURGAPUR MONIA	GAYA	BIHAR, 	Education & Literacy,	
6	BR/2017/0151274	A League for Ideal and emerging natives	alienindia05@gmail.com	9386969996	near alua pokhar, besides naka no-2, Kadirabad, Darbhanga	darbhanga			
7	BR/2017/0155606	A M EDUCATIONAL AND WELFARE TRUST	manauwar1965@gmail.com	9852505654	MAHARAJGANJ, PO-LAHERIASARAI	DARBHANGA	BIHAR, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,	
8	BR/2020/0260619	A-1 KALYAN SEVA SANSTHAN	a1kss1415@gmail.com	9934026177	VILL POST-NARIYAR P.S-MOTIPUR BLOCK-MOTIPUR MUZAFFARPUR	MUZAFFARPUR			
9	BR/2020/0255701	Aacharya Bhagwat Foundation	er.chandankumardwivedi@gmail.com	8130617783	H.N. 370, WARD NO. 23, KAMALNATH NAGAR, NEAR-GOPAL JEE MAHTO COACHING COMPLEX	Bettiah	BIHAR, 	Children,Civic Issues,Dalit Upliftment,Disaster Management,Education & Literacy,Health & Family Welfare,Human Rights,Nutrition,Urban Development & Poverty Alleviation,Women's Development & Empowerment,	https://www.aacharyabhagwatfoundation.com/
10	BR/2017/0177670	AADARSH FOUNDATION MUZAFFARPUR	aadarshngoindia@gmail.com	7984833901	FCI Godown, Village- Sherpur, Post- MIC Bela, Sherpur, Muzaffarpur-842005	MUZAFFARPUR			
11	BR/2020/0266853	AADARSH MANAV ADHIKAR TRUST	artispj2021@gmail.com	9955103443	LAGUNIA RAGHU KANTH SAMASTIPUR	SAMASTIPUR			
12	BR/2018/0184271	aadarsh parikalpana	aadarshparikalpana2015@gmail.com	8409267544	H.No-189(K), Vill- Pokharia, Ward No-35, PO Distt- Begusarai	BEGUSARAI	BIHAR, 	Education & Literacy,Health & Family Welfare,Vocational Training,Women's Development & Empowerment,	
