S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	CH/2019/0237979	AADESH DIGITAL SOLUTIONS PRIVATE LIMITED	ADSPLRFP2019@GMAIL.COM	9041229530	sco 188-190, sector 354-a	chandigarh	CHANDIGARH, 			
2	CH/2010/0031437	Acharyakul Chandigarh	acharyakul.chd@gmail.com	947852233	Acharyakul ChandigarhGandhi Smarak Bhawan, Sector16-A, Chandigarh (U.T.) 160015	Chandigarh	CHANDIGARH, 	Art & Culture,Children,Environment & Forests,Health & Family Welfare,Legal Awareness & Aid,Vocational Training,Women's Development & Empowerment,Youth Affairs,	http://www.acharyakul.org	
3	CH/2018/0208763	ADARSH SHIKSHA SAMITI ASSANDH	project.assa04@gmail.com	9996550010	HARYANA, CHANDIGARH	HARYANA				
4	CH/2019/0241488	AHSAS: Association For Health Systems Analysis & Strengthening	aggak63@gmail.com	9316133882	Department of Community Medicine, School of Public Health, PGIMER, Chandigarh	Chandigarh	CHANDIGARH, 	Health & Family Welfare,Any Other,	https://www.ahsas-pgichd.org/	
5	CH/2018/0188212	Alankartheatrechd	alankartheatreofficial@gmail.com	8195008982	H. no -3184 , Housing Board Complex, EWS Society , sector -52 d , chandigarh	chandigarh	BIHAR, HARYANA, HIMACHAL PRADESH, PUNJAB, RAJASTHAN, UTTAR PRADESH, 	Agriculture,Art & Culture,Children,Education & Literacy,Human Rights,Labour & Employment,Panchayati Raj,Urban Development & Poverty Alleviation,Women's Development & Empowerment,	http://www.alankartheatre.com	
6	CH/2018/0222155	ALLIANCE FRANCAISE LE CORBUSIER DE CHANDIGARH	vipneshb@gmail.com	9814615100	NEXT TO HIBISCUS GARDEN , SECTOR-36 A CHANDIGARH	CHANDIGARH	CHANDIGARH, 	Art & Culture,Civic Issues,Education & Literacy,		
7	CH/2019/0224203	AMRIT CANCER FOUNDATION	sewasimran35@gmail.com	9914466666	353 SECTOR 44-A	CHANDIGARH	CHANDIGARH, 	Health & Family Welfare,		
8	CH/2018/0203179	Appworx IT Solutions Private Limited	gagan@appworx.in	8283806888	Netsmartz House, Plot Number 10, Rajiv Gandhi Technology Park, Chandigarh-160101	Chandigarh			http://www.appworx.in	
9	CH/2017/0156589	Armaan Foundation Chandigarh	armaanfoundationchandigarh@gmail.com	9530910007	Office 2682, Sector 40 C, Chandigarh, India	Chandigarh	CHANDIGARH, 	Art & Culture,Children,Education & Literacy,Aged/Elderly,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,	http://thetributetothepast.com/armaan-foundation/	
10	CH/2013/0056119	Artscapes	contact@artscapesindia.com	9814600107	Artscapes SCO 7 II Floor Sector 30 D	Chandigarh	CHANDIGARH, PUNJAB, 	Art & Culture,	http://www.artscapesindia.com	
11	CH/2018/0221578	Aruna Asaf Ali Memorial Trust	arunaasafalitrust44@yahoo.in	9876601573	ARUNA ASAF ALI BHAWAN SECTOR 44-A CHANDIGARH	CHANDIGARH	CHANDIGARH, 	Children,Civic Issues,Vocational Training,Women's Development & Empowerment,		
12	CH/2017/0161414	Asian Education Society	ashwiniluthra1946@gmail.com	9818701625	House no.2044, sector15. C, Chandigarh	chandigarh			http://www.asianeducationsociety.org	
13	CH/2018/0185150	Assembly of Believers Trust	assemblyofbelieverstrust@gmail.com	8289016677	2288 Astha Apartments, Sector 48 C	Chandigarh	CHANDIGARH, HARYANA, PUNJAB, 	Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Legal Awareness & Aid,Minority Issues,Nutrition,Science & Technology,Sports,Urban Development & Poverty Alleviation,Water Resources,		
14	CH/2016/0103919	Association For Social Health in India Punjab State Branch	punjabashi@gmail.com	9814648480	C/o The New Public School, Sector 18-B, Chandigarh, 160018	Chandigarh	CHANDIGARH, PUNJAB, 	Children,Women's Development & Empowerment,	http://ashipunjab.blogspot.com	
15	CH/2017/0163923	ASSOCIATION For SOCIAL HEALTH of India	ashianap@gmail.com	9779041168	ASSOCIATION FOR SOCIAL HEALTH IN INDIA, HARYANA STATE BRANCH, ASHIANA CHILDREN HOME, SECTOR-16, PANCHKULA -134109 (HARYANA)	CHANDIGARH	HARYANA, 	Children,	https://ashi-haryana.org/	
16	CH/2014/0085255	ASSOCIATION OF PROFESSIONAL SOCIAL WORKERS AND DEVELOPMENT PRACTITIONERS	apswdp@gmail.com	9417170356	REGD ADDRESS . P. BOX No. 363 11.A, CHANDIGARH 160011Correspondence Address: 530 F.F. Krishna Enclave, Zirakpur, SAS Nagar (Tri-city Chandigarh)CONTACT : REKHA TRIVEDI H NO 3530, SECTOR-23-D, CHANDIGARH-16002391 7087060356	CHANDIGARH	CHANDIGARH, PUNJAB, 	Civic Issues,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,HIV/AIDS,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,	http://www.apswdp.org	
17	CH/2018/0219044	BABA NANAK EDUCATIONAL SOCIETY	inderjitsinghjaijee@yahoo.com	9780030306	House No 1501, Sector 36 D	Chandigarh	CHANDIGARH, 	Education & Literacy,		
18	CH/2018/0189110	Bahra Educational & Charitable Society	niladry_chem@yahoo.co.in	8894144966	House No. 3024, Phase-VII, Mohali	Mohali	CHANDIGARH, 			
