S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	CG/2019/0241405	21ST CENTURY EDUCATION SOCIETY	alokjanjgir@gmail.com	9425223001	BRILLIANT PUBLIC SCHOOLAKALTARA ROADJANJGIR	JANJGIR	CHHATTISGARH, 	Education & Literacy,	http://bpsjanjgir.com	
2	CG/2019/0229620	A K VIKASSHEEL SHIKSHAN SANSTHAN	akcomputerskorba@gmail.com	8085553655	HOUSE NO-675 AARAMASHIN NEW KASHI NAGAR NIHARIKA KORBA CHHATTISGARH	KORBA				
3	CG/2018/0204605	A S B S FOUNDATION	rajkumarsao39@gmail.com	7000610410	SHAKUNTALA VIDHYALAY ROAD, GAYATRI MANDIR WARD NO 13, RAMNAGAR BHILAI, DIST- DURG	BHILAI	CHHATTISGARH, 	Women's Development & Empowerment,Vocational Training,		
4	CG/2018/0203764	A Society for education welfare and ability	sewaskillzone@gmail.com	9320406665	LIG 149 OLD DEENDAYAL COLONY JUNWANI ROAD BHILAI BHILAI CHHATISHGARH490020	Bhilai	ANDHRA PRADESH, CHHATTISGARH, 	Education & Literacy,Health & Family Welfare,Information & Communication Technology,Vocational Training,Any Other,		
5	CG/2017/0176114	AACHALMAHILA SWA SAHAYATA SAMUH	tiwarivijaylaxmi04@gmail.com	8269388533	Ward No.16, Near Holicrass School, Shankar Ghat, Kawardha, District-Kabirdham (Chhattisgarh)	Kawardha	CHHATTISGARH, 	Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Urban Development & Poverty Alleviation,Women's Development & Empowerment,		
6	CG/2018/0183144	AADARSH CHHABBINATH DUBEY SHIKSHAN SAMITI	4469MANISH@GMAIL.COM	8839664997	NEAR SHANKAR MANDIR KETKA ROAD, MANPUR DIST.-SURAJPUR	SURAJPUR	CHHATTISGARH, 	Agriculture,		
7	CG/2020/0262995	Aadarsh Foundation	afjsp496331@gmail.com	7489888808	Head Office : Palace Road, Banki Toli Jashpur Nagar, District-Jashpur	jashpur	CHHATTISGARH, 			
8	CG/2020/0257602	AADARSH SHIKSHA SAMITI 	devvanisanskritschool@gmail.com	7489179859	Indira Gandhi Higher Secondary School, Ramnagar, Bhilai, Distt. Durg,Chhattisgarh, 490023	Bhilai				
9	CG/2017/0158657	AADARSHWADI JANSHAKTI SANGH	spr_pharma@yahoo.co.in	7828520999	947/1, Hind Nagar, Risali Bhilai	Bhilai	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Micro Small & Medium Enterprises,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Tourism,Tribal Affairs,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,		
10	CG/2018/0220043	AADHAR SEVA SAMITI	rs.singh1977@gmail.com	9926808100	FLAT NO. 132 BLOCK 9 AAKASH NAGAR, HOUSING BAORD COLONY, RAIPUR CG	RAIPUR	CHHATTISGARH, 	Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Nutrition,Panchayati Raj,Rural Development & Poverty Alleviation,Sports,Tourism,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs,Agriculture,Biotechnology,Aged/Elderly,Food Processing,Information & Communication Technology,Land Resources,Micro Small & Medium Enterprises,New & Renewable Energy,Science & Technology,Urban Development & Poverty Alleviation,Water Resources,		
11	CG/2018/0198394	AADI EDUCATION SOCIETY	aadieducation2016@gmail.com	7587033002	SUNITA NIWAS, PLOT NO. 42, PRACHI VIHAR, BADE ATTARMUDA, RAIGARH	RAIGARH	CHHATTISGARH, ORISSA, JHARKHAND, 	Education & Literacy,Information & Communication Technology,Nutrition,Sports,Tourism,Vocational Training,		
12	CG/2020/0261852	AADITEE SAMITI	aditee.samitikorba@gmail.com	8223018444	PURANI BASTI KOHADIYA, KORBA	KORBA	CHHATTISGARH, 	Rural Development & Poverty Alleviation,Vocational Training,		
13	CG/2018/0189986	AADIWASI JANJAGRITI VIKAS SANSTHA SAMITI JAKADBANDHA	mangalsinghekka@gmail.com	8223823051	Village Jakadbhandha, Post- Surhi Thana- Lormi, Dist.- Mungeli (C.G.) Pin- 495115	Lormi	CHHATTISGARH, 	Animal Husbandry, Dairying  &  Fisheries,Education & Literacy,Labour & Employment,Rural Development & Poverty Alleviation,		
14	CG/2019/0224046	AADIWASI MAHILA SWA SAHAYTA SAMUH	MAHILASAMUH01@GMAIL.COM	7587342578	Vard No-01 Nayapara Narayanpur Teh. Narayanpur District Narayanpur	Narayanpur	CHHATTISGARH, 	Food Processing,		
15	CG/2019/0236847	AAKAR AAKRITI SAMAJ SEWI SANSTHA	send2manishpandey@gmail.com	8349400911	H. NO. 506 LOKENDRA GUPTA KA NIWAS NAKAPARA WARD NO 1 INFRONT OF POST OFFICE GEEDAM DISTRICT- DANTEWADA CHATTISGARH 494441	GEEDAM	CHHATTISGARH, 	Vocational Training,		
16	CG/2017/0116005	AAMIN EDUCATION AND WELFARE FOUNDATION	abacus@acm.org.in	9981300468	NEAR GAFFAR BUILDING CHHAWANI CHOWK BHILAI POST - I.E. DIST - DURG CHHATTISGARH PIN CODE - 490026	BHILAI		Education & Literacy,Information & Communication Technology,Labour & Employment,Vocational Training,		
17	CG/2018/0211850	AANCHALIK SAMACHAR PATRA SANGRAHALAYA EVAM SHODH SANSTHAN	rajendrakt@yahoo.com	9406201354	HOUSING BOARD COLONY CIVIL LINE LALBAGH	JAGDALPUR	CHHATTISGARH, 	Education & Literacy,Tribal Affairs,Any Other,		
18	CG/2020/0264631	Aanya Jankalyan Samiti	aanyajankalyansamiti@gmail.com	9039835449	J-28, PARVATI COMPLEX, RUNGTA COLLEGE ROAD, SHANTI NAGAR	BHILAI	CHHATTISGARH, 	Children,Civic Issues,Education & Literacy,Food Processing,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Micro Finance (SHGs),Nutrition,Women's Development & Empowerment,	https://aanyajankalyansamiti.com	
19	CG/2020/0252145	Aaradhna Manav Vikas samiti 	duragesha@gmail.com	9826349111	DARRI ROAD RAM SAGAR PARA KORBA (C. G.)	korba	CHHATTISGARH, 	Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Labour & Employment,Minority Issues,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other,Dalit Upliftment,		
20	CG/2017/0160482	Aarav Institute of Medical Science	aioms.ddugky@gmail.com	9300558900	31,COMMERCIAL COMPLEX, M. L. NEHRU NAGAR (EAST), BHILAI DIST.- DURG (C.G.) 490020	Bhilai	CHHATTISGARH, 	Education & Literacy,		
21	CG/2017/0157597	Aarav Medishine Private Limited	ampl.ddugky@gmail.com	9300958800	RASTOGI COMPLEX,31 COMMERCIAL COMPLEX, NEHRU NAGAR, BHILAI DIST.-DURG (C.G.)	BHILAI	CHHATTISGARH, 	Education & Literacy,		
22	CG/2019/0239560	AARTHO WELFARE FOUNDATION	aarthowelfarefoundation@gmail.com	7000271391	WARD NO 06 KHUTHANPARA BAIKUNTHPUR	BAIKUNTHPUR		Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,HIV/AIDS,Housing,New & Renewable Energy,Nutrition,Science & Technology,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Any Other,		
23	CG/2018/0212338	AARYANS SEVA SANSTHAN	beig.ahmed@gmail.com	9424107560	VILLAGEKUSUMKASA TAHSILDONDI	DALLI RAJHARA	CHHATTISGARH, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Tribal Affairs,Vocational Training,Women's Development & Empowerment,		
24	CG/2019/0230257	AASARA FOUNDATION	aasrafoundation00@gmail.com	7354950468	H.O. :- AASARA FOUNDATION, SIRPURA, CHATTISGARH. KU. ISHA TADON, WARD NO. -06, MAKAN NO- 80, GRAM, SIRPUR, POST- SIRPUR, TEH. MAHASAMUND, CHATIISGRAH. Office Adress :- Imali Bhatha Word No. 2 ganesh Atta Chaki ke pass Pragya Kunj, mahsamund (C.G.) Contec No. :- 6261975706	SIRPUR	CHHATTISGARH, 	Education & Literacy,Women's Development & Empowerment,		
25	CG/2018/0186391	AASH EDUCATIONAL & WELFARE SOCIETY	drnanaskar@gmail.com	9827156005	Madhya Nagri Chowk, Near Radha Krishna Mandir, Bilaspur	Bilaspur	CHHATTISGARH, 	Agriculture,Art & Culture,Education & Literacy,Food Processing,Health & Family Welfare,Legal Awareness & Aid,Minority Issues,Vocational Training,		
