S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	DN/2018/0218765	BALWATIKA SOCIETY HELERS OF MARY	shmgeneralatefin@helpmary.in	9594559038	Balwatika Society of Helpers of Mary	Dadra and Nagar Haveli	DADRA & NAGAR HAVELI, 	Children,Education & Literacy,Women's Development & Empowerment,		
2	DN/2017/0173849	church of sacred heart of jesus	mingueld@gmail.com	7046937100	AT POST. DAPADA, TOWN-SILVASSA DIST:UTPIN. 396230	Dapada	DADRA & NAGAR HAVELI, 	Education & Literacy,		
3	DN/2017/0173831	Gyanmata Eudcational Society	provincialtreasurermp@gmail.com	9998133515	premal deep, zanda chowk	silvassa	DADRA & NAGAR HAVELI, DAMAN & DIU, 	Children,Education & Literacy,		
4	DN/2017/0167289	Human Rights Mission	hrmdnh@gmail.com	8980348368	Plot No. 126, kilvani naka, Near Jalaram Temple, Silvassa	Silvassa		Human Rights,		
5	DN/2016/0104887	Indian Red Cross Society	ksmoondra@yahoo.com	9824115454	Indian Red Cross Society, Dadra	silvassa	DADRA & NAGAR HAVELI, 	Aged/Elderly,Children,Differently Abled,Education & Literacy,Health & Family Welfare,		
6	DN/2009/0022088	Jan Shikshan Sansthan DNHS	jssuti@gmail.com	9978896788	Jan Shikshan SansthanRamsadan, Beside Central Library, Opposite Town Hall, Vapi Road, Silvassa - 369 230 UT of Dadra and Nagar Haveli U.T. of Dadra	Silvassa	DADRA & NAGAR HAVELI, 	Education & Literacy,Vocational Training,Women's Development & Empowerment,		
7	DN/2020/0251140	KRAFTO CHARITABLE FOUNDATION	daffodilkids@gmail.com	9737003399	HOUSE NO. 306, OPP. PRITHVIRAJ HOTEL, NAROLI SILVASSA ROAD , NAROLI,	NAROLI	DADRA & NAGAR HAVELI, 	Art & Culture,Children,Education & Literacy,Information & Communication Technology,		
8	DN/2018/0199520	KRISHNA CANCER AID ASSOCIATION	gstnpoddar@gmail.com	7038166562	FLAT NO 204, NEHA APARTMENT, OPP STATE BANK OF INDIA, KILVANI ROAD AMLI, SILVASSA	SILVASSA				
9	DN/2017/0174581	NATIONAL ASSOCIATION FOR THE BLIND	isureack@gmail.com	7984346282	QUARTER No. 19, GOVERNMENT COLONY, Nr. RELIANCE INDUSTRIES, KHARADPADA, NAROLI	SILVASSA	DADRA & NAGAR HAVELI, 	Children,Differently Abled,Any Other,		
10	DN/2020/0251013	OM SHIV EDUCATIONAL TRUST	dadralittle009@gmail.com	7433822299	A/2/2, AMBIKA PARK, VAPI-SILVASA ROAD, LAVACHHA DIST. VALSAD -396193	Silvassa	GUJARAT, 	Children,		
11	DN/2017/0173932	our lady of lourdes mission	frvictorsouza@live.com	9723153273	AT POST.CHISDA KHANWEL SINDONI ROAD DIST:UTPIN. 396230	CHISDA	DADRA & NAGAR HAVELI, 	Education & Literacy,		
12	DN/2017/0173906	our lady of piety church	cherobin2000@gmail.com	9624104002	P.O. SILVASSA DIST- UT, PIN- 396230	Silvassa	DAMAN & DIU, 	Education & Literacy,		
13	DN/2017/0173929	OUR LADY OF PILLAR MISSION	ramesh.mahale@gmail.com	9824287090	AT POST. SINDONIM DIST- UT, PIN- 396230	Sindoni	DADRA & NAGAR HAVELI, 			
14	DN/2017/0173922	our lady of rosary mission	nirmalmata16@gmail.com	8156062209	AT POST.SHELTIDIST- UT, PIN- 396230	Shelti	DADRA & NAGAR HAVELI, 	Education & Literacy,		
15	DN/2017/0173844	our lord redeemer church	fransbrown@yahoo.com	7284890381	AT. FR. MANAGES ROAD, KHANWEL DIST- UT, PIN- 396230	Khanwel	DADRA & NAGAR HAVELI, 	Education & Literacy,		
16	DN/2018/0202931	PRAGYA JANSEVI CHARITABLE SOCIETY	npoddarandassociates@gmail.com	9898042242	KUDACHA, BRAHMAN FALIA, SILVASSA	SILVASSA				
17	DN/2019/0238197	PRAGYAN EDUCATIONAL & CHARITABLE TRUST 	pragyanect@gmail.com	9737018881	A/8, PRAJAPATI COMPLEX, OPPOSITESAIBABA TEMPLE, AMLI ROAD	SILVASSA	DADRA & NAGAR HAVELI, 	Art & Culture,Education & Literacy,Environment & Forests,		
