S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website
1	DD/2018/0206957	Aim Education Society 	shoebsk12@gmail.com	7262040544	Bhitwadi, Daman wada,Near Moti Daman. 396220. Daman	moti daman	DAMAN & DIU, 	Education & Literacy,Information & Communication Technology,	http://www.aimesdaman.com	
2	DD/2017/0173890	holy name church	holynamedp@gmail.com	7046936540	AT POST.MOTI DAMAN DIST- UT, PIN- 396220	Moti Daman	DAMAN & DIU, 	Education & Literacy,		
3	DD/2016/0098949	Manav Kalyan Youth Welfare Union Trust	manavkalyandaman@gmail.com	9427779987	H.No. 2335, Khajuriya Street, Main Road, Vanakbara - Diu.  Pin-362570.	Vanakbara				
4	BR/2018/0198239	OM SAI KALYAN SAMITI DARBHANGA	osrajfilmproduction@gmail.com	9572130324	yhjfgyghgh	ara	BIHAR, 	Any Other,		
5	DD/2017/0173895	our lady of remedios church	olremediosmotidaman@gmail.com	9624138368	AT POST. MOTI DAMAN DIST- UT, PIN- 396220	Moti Daman	DAMAN & DIU, 	Education & Literacy,		
6	DD/2017/0173925	our lady of the sea church	domarnanidaman@gmail.com	9512613988	AT POST.NANI DAMAN DIST- UT, PIN- 396210	Nani Daman	DAMAN & DIU, 	Education & Literacy,		
7	DD/2019/0240037	Samast Yuva Mandal	solanki.diu2020@gmail.com	9904992566	H.No,704, Jalaram Society, Vanakbara	Diu	DAMAN & DIU, GUJARAT, HARYANA, 	Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Panchayati Raj,Sports,Youth Affairs,		
8	DD/2018/0209001	Sanyukt Yuva Mandal	symcompclass@gmail.com	9737821011	H.No,704, Jalaram Society, Vanakbara	Diu	DAMAN & DIU, GUJARAT, HARYANA, DAMAN & DIU, GUJARAT, HARYANA, 	Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Panchayati Raj,Sports,Youth Affairs,Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Panchayati Raj,Sports,Youth Affairs,		
9	DD/2009/0020309	Sargam Yuva Mandal	sargam.ti@gmail.com	7069161968	H. No. 491,   Nava Para, Ghoghala,   District Diu (UT), Daman and Diu  Pin : 362540	Diu	DAMAN & DIU, 	Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,		
10	DD/2019/0230781	SETCO FOUNDATION	trushargadhavi@gmail.com	9727701456	SETCO FOUNDATION NR.BUS DEPO. DAMAN AND DIU396210	DAMAN	GUJARAT, 	Children,Education & Literacy,Micro Finance (SHGs),Nutrition,Women's Development & Empowerment,Children,Education & Literacy,Micro Finance (SHGs),Nutrition,Women's Development & Empowerment,Children,Education & Literacy,Micro Finance (SHGs),Nutrition,Women's Development & Empowerment,Children,Education & Literacy,Micro Finance (SHGs),Nutrition,Women's Development & Empowerment,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Disaster Management,Drinking Water,Environment & Forests,Health & Family Welfare,Sports,Water Resources,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Disaster Management,Drinking Water,Environment & Forests,Health & Family Welfare,Sports,Water Resources,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Disaster Management,Drinking Water,Environment & Forests,Health & Family Welfare,Sports,Water Resources,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Disaster Management,Drinking Water,Environment & Forests,Health & Family Welfare,Sports,		
11	DD/2020/0255462	STEP UP FOUNDATION	stepupfoundation@ymail.com	9624572748	117/8, Jain Street, Nani Daman.	DAMAN	DAMAN & DIU, 	Civic Issues,Drinking Water,Education & Literacy,Health & Family Welfare,Minority Issues,Sports,Women's Development & Empowerment,Disaster Management,		
12	DD/2014/0078347	Swamivivekanand Yuvak Mandal	swamivivekanandyuvakmandal2711@gmail.com	9825844410	Youth Action Force,ACE Shopping Mall,  Dilipnagar Ground Road, Dilip Nagar,  Nani Daman, Daman-396210.   DAMAN (U.T) INDIA	DAMAN	DAMAN & DIU, 	HIV/AIDS,	http://youthactionforcedamandiu.com	
13	DD/2018/0206278	The Society for Welfare of Mentally Retarded Children Diu	swmrorgdiu@yahoo.com	9825537025	DDRC Building, Near Govt. Hospital, Diu.DIU-362520 (U.T)	DIU	DAMAN & DIU, 	Children,Children,		
14	DD/2014/0078350	Youth Action Force Daman and Diu	youthactionforcedamandiu@gmail.com	9825844410	Youth Action Force,ACE Shopping Mall, Dilipnagar Ground Road, Dilip Nagar,  Nani Daman, Daman-396210.   DAMAN (U.T) INDIA	Daman	DAMAN & DIU, 	Human Rights,Youth Affairs,	http://youthactionforcedamandiu.com	
15	DD/2017/0119816	Youth Women Empowerment	youthwomenempowerment@gmail.com	9727684151	Ace shopping mall,Dilip Nagar, Nani Daman,Daman	DAMAN	DAMAN & DIU, 	Children,Civic Issues,Education & Literacy,HIV/AIDS,Human Rights,Legal Awareness & Aid,Right to Information & Advocacy,Tribal Affairs,Women's Development & Empowerment,Youth Affairs,		
