S.no.	ID	Name	Email-id	Mobile no.	Address	City	State	Sector	Website

1	DL/2017/0165260		ASSOCIATION FOR SOCIAL SERVICE AND REHABILITATION OF THE AGED ASSRA	assra4u@gmail.com	9810212917	BB-9-G, DDA FLATS, Munirka, Third Floor	New Delhi	UTTAR PRADESH, ORISSA, 	Education & Literacy,Health & Family Welfare,Aged/Elderly,Differently Abled,Environment & Forests,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment,	
2	DL/2020/0264501	21VI Sadi Shiksha Trust	baukhandi.reena22@gmail.com	7011402727	BH-207, Ground Floor, East Shalimar Bagh, Delhi-110088	Delhi	DELHI, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Dalit Upliftment,Differently Abled,Disaster Management,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Minority Issues,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Youth Affairs,Any Other,	
3	DL/2019/0223052	24X7 Care Foundation	24x7carefoundation@gmail.com	7065208000	H.No-69, 1 st Floor, Block-B, Pocket-5, Sector-4, Rohini, Delhi-110085	NEW DELHI	DELHI, 	Children,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment,	http://www.24x7carefoundation.org
4	DL/2017/0168727	321 Education Foundation	finance@321-foundation.org	9538205909	55-A, JOR BAGH	New Delhi	MAHARASHTRA, 	Education & Literacy,	http://www.321-foundation.org/#
5	DL/2019/0245814	365 SECURITY AND SERVICES PRIVATE LIMITED	RANJEETSINGH01MEERUT@GMAIL.COM	8859010110	1/5536, BALBIR NAGAR EXTN, LANE NO. 6, SHAHDRA EAST DELHI-110032	EAST DELHI			
6	DL/2020/0255724	3rd eye foundation	3rdeyesfoundation@gmail.com	9667987113	B-220, 1st FLOOR, 7th BLOCK, FRUIT AND VEGETABLE MARKET, GHAZIPUR, DELHI-110096	GHAZIPUR	HARYANA, RAJASTHAN, UTTARAKHAND, DELHI, UTTARAKHAND, UTTAR PRADESH, 	Children,Environment & Forests,Information & Communication Technology,Agriculture,Animal Husbandry, Dairying  &  Fisheries,Civic Issues,Drinking Water,Education & Literacy,Aged/Elderly,Food Processing,HIV/AIDS,Housing,Human Rights,Labour & Employment,Legal Awareness & Aid,Nutrition,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Scientific & Industrial Research,Tourism,Tribal Affairs,Vocational Training,Water Resources,Women's Development & Empowerment,	http://www.3rdeyefoundation.com/
7	DL/2020/0256657	4GROUP SAFEGAURD AND SECURITY SERVICES PRIVATE LIMITED	4gs2001@gmail.com	9625277977	LOWER GROUND FLOOR, 15/01, NEW DELHI, SHITLA MATA MANDIR, CHIRAG DELHI, DELHI, South Delhi, Delhi, 110017	NEW DELHI	BIHAR, DELHI, UTTAR PRADESH, 	Art & Culture,Children,Health & Family Welfare,Human Rights,New & Renewable Energy,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,	
8	DL/2018/0212899	7 HEXAGON TECH LABS PRIVATE LIMITED	sandeep_skills@hotmail.com	9818098518	B-203, 2ND FLOOR, SIGNATURE VIEW APPARTMENTS, MUKHARJEE NAGAR, NEW DELHI- 110009	MUKHARJEE NAGAR			
9	DL/2014/0074954	A Giggles Welfare Organisation	contact@agwo.org		C63, Basement,South Extension Part -2 New Delhi - 110049	Delhi	DELHI, 	Education & Literacy,Health & Family Welfare,Human Rights,Vocational Training,Women's Development & Empowerment,Children,Differently Abled,HIV/AIDS,	http://www.agwo.org
10	DL/2020/0251434	A HELPING HEART	president.ahelpingheart@gmail.com	9269101101	HOUSE NO-24, BLOCK-A, PKT-8, SEC- 15, LANDMARK NEAR SENT ANGEL HOUSE,ROHINI, NEW DELHI- 110085	DELHI	DELHI, RAJASTHAN, KARNATAKA, 	Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Scientific & Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,	
11	DL/2019/0247436	A N Foundation	anfoundationofficial@gmail.com	9032320151	C 138, Second Floor, Taiyab Lane, Shaheen Bagh, Jamia Nagar, New Delhi 110025	New Delhi	BIHAR, CHHATTISGARH, DELHI, TELANGANA, WEST BENGAL, 	Art & Culture,Children,Civic Issues,Dalit Upliftment,Education & Literacy,Health & Family Welfare,	
12	DL/2018/0196923	A New Road	moumita.ghosh@anewroad.org	9810663406	C-32, Dwarkadheesh Apartments, Pkt-2, Sector-12 Dwarka, New Delhi-110078	New Delhi	DELHI, 	Children,Education & Literacy,Women's Development & Empowerment,Youth Affairs,	
13	DL/2017/0175107	A P GOYAL CHARITABLE TRUST	accounts@agu.edu.in	9310141302	66 SHANKAR VIHAR VIKAS MARGNEAR NIRMAN VIHAR	DELHI			
14	DL/2017/0115502	A to Z Foundation	foundationatoz@gmail.com	9990100043	36-B FIRST FLOOR KALKAJI NEW DELHI 110019	NEW DELHI		Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,	
15	DL/2020/0258386	A TRUST TO REJUVENATE EARTH & ENVIRONMENT SYSTEMS	trees19032020@gmail.com	8279873123	H.N. 105 STREET -1 VILLAGE WAZIRABAD NORTH DELHI DELHI 110084Head Office -32/1 south civil line arya samaj road Muzaffarnagar Pin Code251001	DELHI	DELHI, 	Agriculture,Drinking Water,Education & Literacy,Environment & Forests,New & Renewable Energy,Rural Development & Poverty Alleviation,Water Resources,Any Other,Labour & Employment,Land Resources,Micro Finance (SHGs),Micro Small & Medium Enterprises,Urban Development & Poverty Alleviation,	
16	DL/2017/0116152	A WAY OF HAPPINESS EDUCATIONAL SOCIETY	awohesociety@gmail.com	7053471730	A-945 sangam vihar	new delhi	DELHI, 	Education & Literacy,	http://awayofhappinessblog.wordpress.com
17	DL/2018/0202013	A ZEPHYR OF GLOBAL AWARNESS AND MEANS AGGRANDIZEMENT	AAGAAZ300414@GMAIL.COM	8003596823	5/7/13, GEETA COLONY,DELHI	East Delhi	RAJASTHAN, 	Micro Finance (SHGs),Agriculture,Animal Husbandry, Dairying  &  Fisheries,Disaster Management,Education & Literacy,Environment & Forests,HIV/AIDS,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Sports,Women's Development & Empowerment,Youth Affairs,	
18	DL/2019/0239207	A.B.C. BLOCK RESIDENT WELFARE ASSOCIATION	paramjeetabc56@gmail.com	9582273707	PLOT NUMBER 423 BLOCK B-2 SULTAN PURI NEW DELHI 110086	NEW DELHI			
19	DL/2019/0229255	A2N Project  Development & Research Foundation	a2nproject2018@gmail.com	7340786436	307, Crown Heights Sector10, Rohini, NearRithala Metro StationNew Delhi - 110085	New Delhi	DELHI, 	Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs,	
20	DL/2019/0235710	AAB-O-HAWA WELFARE SOCIETY	aabohawadelhi2019@gmail.com	9634080849	F-86/A, Ground Floor, Abul Fazal Enclave-I, Jamia Nagar, New Delhi-110025	New Delhi	UTTAR PRADESH, DELHI, 	Education & Literacy,Environment & Forests,Health & Family Welfare,Legal Awareness & Aid,Education & Literacy,Environment & Forests,Health & Family Welfare,Labour & Employment,Micro Small & Medium Enterprises,	
21	DL/2019/0236431	Aabha Aabhas	gauravsharma2183@gmail.com	9711662873	FLAT NO-746, G/F, SECTOR-13, PKT-B, DWARKA PH II, NEW DELHI- 110078	DELHI	DELHI, 	Aged/Elderly,	
